GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
demo,com.example,AuthController,94,44,8,0,24,6,5,2,1,2
demo,com.example,QuestionController,152,3,0,0,35,1,11,1,11,1
demo,com.example,Application,14,3,0,0,3,1,2,1,2,1
demo,com.example,QuizplayController,45,3,0,0,11,1,5,1,5,1
demo,com.example.models,Quizquestions,17,0,0,0,8,0,5,0,5,0
demo,com.example.models,Role,27,30,0,0,7,11,2,7,2,7
demo,com.example.models,Quizzes,12,38,0,0,5,17,1,11,1,11
demo,com.example.models,Users,15,38,0,0,6,16,1,11,1,11
demo,com.example.models,Questions,27,73,0,0,10,31,1,21,1,21
demo,com.example.service,QuestionServiceImpl,26,96,0,0,7,28,5,7,5,7
demo,com.example.service,QuizServiceImpl,38,19,0,0,12,5,5,4,5,4
demo,com.example.service,RoleServiceImpl,28,8,0,0,9,2,6,2,6,2
demo,com.example.service,AuthenticateServiceImpl,21,3,4,0,6,1,3,1,1,1
demo,com.example.service,UserServiceImpl,19,17,0,0,6,5,4,4,4,4
demo,com.example.service,QuizquestionsServiceImpl,69,3,2,0,19,1,9,1,8,1
demo,com.example.configs,DatabaseConfig,77,3,0,0,18,1,3,1,3,1
demo,com.example.repository,UsersRepository,37,35,0,0,7,7,2,6,2,6
demo,com.example.repository,QuestionsRepository,23,72,0,0,6,14,2,8,2,8
demo,com.example.repository,QuizRepository,34,52,0,0,7,10,4,5,4,5
demo,com.example.repository,RoleRepository,56,16,0,0,11,3,5,3,5,3
demo,com.example.repository,QuizquestionsRepository,69,3,0,0,14,1,7,1,7,1
